"iditem_producto_combo"|"descripcion"|"cantidad"|"precio_alquiler"|"precio_reposicion"|"fk_idproducto"|"fk_idproducto_combo"
1|"Sofá Blanco 2L"|2|40000|0|2|1
2|"Puf Blanco x lugar"|6|10000|0|3|1
3|"Mesa simple Blanca"|1|20000|0|4|1
4|"Puff BLANCO Doble "|2|20000|0|4|2
5|"Puff BLANCO individual"|6|10000|0|3|2
6|"Mesa/puff LED inalámbica"|1|50000|0|12|2
7|"Puff NEGRO Doble "|2|20000|0|8|3
8|"Puff NEGRO individual"|6|10000|0|7|3
9|"Mesa/puff LED inalámbica"|1|50000|0|12|3
10|"Puff BLANCO Doble "|2|20000|0|4|4
11|"Puff BLANCO individual"|6|10000|0|3|4
12|"Mesa BLANCA simple"|1|20000|0|5|4
13|"Champañera LED inalámbica"|1|50000|0|10|4
14|"Puff NEGRO Doble "|2|20000|0|8|5
15|"Puff NEGRO individual"|6|10000|0|7|5
16|"Mesa NEGRA simple"|1|20000|0|9|5
17|"Champañera LED inalámbica"|1|50000|0|10|5
18|"Sofá BLANCO con respaldero 2L"|2|40000|0|2|6
19|"Puff BLANCO Doble "|1|20000|0|4|6
20|"Puff BLANCO individual"|4|10000|0|3|6
21|"Mesa BLANCA simple"|1|20000|0|5|6
22|"Champañera LED inalámbica"|1|50000|0|10|6
23|"Sofá NEGRO con respaldero 2L"|2|40000|0|6|7
24|"Puff NEGRO Doble "|1|20000|0|8|7
25|"Puff NEGRO individual"|4|10000|0|7|7
26|"Mesa NEGRA simple"|1|20000|0|9|7
27|"Champañera LED inalámbica"|1|50000|0|10|7
28|"Sofá NEGRO con respaldero 2L"|2|40000|0|6|8
29|"Puff NEGRO Doble "|1|20000|0|8|8
30|"Puff NEGRO individual"|4|10000|0|7|8
31|"Mesa NEGRA simple"|1|20000|0|9|8
32|"Sofá BLANCO con respaldero 2L"|2|40000|0|2|9
33|"Puff BLANCO Doble "|1|20000|0|4|9
34|"Puff BLANCO individual"|4|10000|0|3|9
35|"Mesa/puff LED inalámbica"|1|50000|0|12|9
36|"Champañera LED inalámbica"|1|50000|0|10|9
37|"Sofá NEGRO con respaldero 2L"|2|40000|0|6|10
38|"Puff NEGRO Doble "|1|20000|0|8|10
39|"Puff NEGRO individual"|4|10000|0|7|10
40|"Mesa/puff LED inalámbica"|1|50000|0|12|10
41|"Champañera LED inalámbica"|1|50000|0|10|10
42|"Sofá BLANCO con respaldero 2L"|4|40000|0|2|11
43|"Puff BLANCO individual"|2|10000|0|3|11
44|"Mesa BLANCA simple"|1|20000|0|5|11
45|"Champañera LED inalámbica"|1|50000|0|10|11
46|"Sofá NEGRO con respaldero 2L"|4|40000|0|6|12
47|"Puff NEGRO individual"|2|10000|0|7|12
48|"Mesa NEGRA simple"|1|20000|0|9|12
49|"Champañera LED inalámbica"|1|50000|0|10|12
50|"Sofá BLANCO con respaldero 2L"|4|40000|0|2|13
51|"Puff BLANCO individual"|2|10000|0|3|13
52|"Mesa BLANCA simple"|1|20000|0|5|13
53|"Champañera LED inalámbica"|2|50000|0|10|13
54|"Sofá NEGRO con respaldero 2L"|4|40000|0|6|14
55|"Puff NEGRO individual"|2|10000|0|7|14
56|"Mesa NEGRA simple"|1|20000|0|9|14
57|"Champañera LED inalámbica"|2|50000|0|10|14
58|"Mesa Alta BISTRÓ p/BLANCO"|1|30000|0|18|15
59|"Silla Alta BISTRÓ BLANCA"|4|30000|0|20|15
60|"Mesa Alta BISTRÓ p/NEGRO"|1|30000|0|19|16
61|"Silla Alta BISTRÓ NEGRA"|4|30000|0|21|16
62|"Sofá BLANCO con respaldero 2L"|2|40000|0|2|17
63|"Puff BLANCO individual"|6|10000|0|3|17
64|"Mesa BLANCA simple"|1|20000|0|5|17
65|"Mesa/puff LED inalámbica"|1|50000|0|12|17
66|"Sofá BLANCO con respaldero 2L"|2|40000|0|2|18
67|"Puff BLANCO Doble "|1|20000|0|4|18
68|"Puff BLANCO individual"|4|10000|0|3|18
69|"Mesa BLANCA simple"|1|20000|0|5|18
70|"Mesa/puff LED inalámbica"|1|50000|0|12|18
71|"Sofá BLANCO con respaldero 2L"|2|40000|0|2|19
72|"Puff BLANCO Doble "|1|20000|0|4|19
73|"Puff BLANCO individual"|4|10000|0|3|19
74|"Mesa BLANCA simple"|1|20000|0|5|19
75|"Champañera LED inalámbica"|1|50000|0|10|19
76|"Cama Elástica M (4,5mts)"|1|350000|0|64|20
77|"Globo Loco Castillo P"|1|300000|0|65|20
78|"Mesa Alta Bistró Negra - Combo"|1|0|0|77|21
79|"Silla Alta BISTRÓ NEGRA"|4|30000|0|21|21
80|"Mesa redonda p/8P"|1|10000|0|79|22
81|"Mantel brocato (color s/pedido)"|1|25000|100000|72|22
82|"Plato normal"|8|2000|15000|29|22
