"idproducto"|"cod_barra"|"nombre"|"precio_venta_minorista"|"precio_venta_mayorista"|"cantidad_mayorista"|"precio_compra"|"stock"|"stock_min"|"activar"|"venta_mayorista"|"promocion"|"ult_venta"|"ult_compra"|"fk_idproducto_categoria"|"fk_idproducto_unidad"|"fk_idproducto_marca"|"alquilado"|"precio_venta_promocion"|"stock_fijo"|"precio_alquiler"|"precio_reposicion"|"descripcion"
114|"62686-KDX9K"|"Quinta Atardecer - Sabado a Domingo"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-03-03"|"2023-03-03"|11|1|1|t|0|100|3000000|0|"sin-dato"
113|"68433-O9QRM"|"FALTANTES EN EVENTOS S/DETALLE"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|10|1|1|t|0|100|200000|0|"sin-dato"
112|"51194-64RYJ"|"1500-DECORACIÓN Y AMBIENTACION (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|1500000|0|"sin-dato"
111|"51020-DO958"|"ILUMINACIÓN 500 (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|500000|0|"sin-dato"
110|"66139-JJSZB"|"EXCEDENTE EN SERVICIOS 3ROS"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-21"|"2023-02-21"|9|1|1|t|0|100|3890000|0|"sin-dato"
109|"64647-ADA4P"|"700-DECORACIÓN  (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-21"|"2023-02-21"|9|1|1|t|0|100|700000|0|"sin-dato"
108|"64048-YNA94"|"3500-DECORACIÓN Y AMBIENTACION (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|3500000|0|"sin-dato"
107|"63440-X96VR"|"ENTELADO POR METRO (15.000)"|0.00|0.00|0|0.00|200|10|t|f|f|"2023-02-21"|"2023-02-21"|9|1|1|t|0|200|15000|0|"sin-dato"
106|"63313-ORARR"|"2000-DECORACIÓN Y AMBIENTACION (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|2000000|0|"sin-dato"
105|"26781-FZLPE"|"MUEBLES LUMINICOS DE DIFERENTES MODELOS, SURTIDOS"|0.00|0.00|0|40000.00|100|100|t|f|f|"2023-02-10"|"2023-02-10"|5|1|1|t|0|100|40000|0|""
104|"81367-A38E7"|"Bandejas Inox-tamaño M/P con divisorias+porta salsa"|0.00|0.00|0|0.00|100|100|t|f|f|"2023-02-03"|"2023-02-03"|6|1|1|t|0|100|12500|0|"sin-dato"
103|"53592-4GSPQ"|"650-DECORACIÓN (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|650000|0|"sin-dato"
102|"53473-DABFN"|"ILUMINACIÓN BÁSICA 250 (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-28"|"2023-01-28"|9|1|1|t|0|100|250000|0|"sin-dato"
101|"53177-OZ6T1"|"750-DECORACIÓN  (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-21"|"2023-02-21"|9|1|1|t|0|100|750000|0|"sin-dato"
100|"53130-XTMQW"|"ILUMINACIÓN BÁSICA 350 (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|300000|0|"sin-dato"
99|"53044-XXGZ7"|"CARTEL CON 2 NOMBRES (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-28"|"2023-01-28"|9|1|1|t|0|100|150000|0|"sin-dato"
98|"62442-P1X2X"|"PANTALLA LED 3X2 "|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-20"|"2023-01-20"|9|1|1|t|0|100|1500000|0|"sin-dato"
97|"61652-JP4EH"|"3000-DECORACIÓN Y AMBIENTACION (ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-28"|"2023-02-28"|9|1|1|t|0|100|3000000|0|"sin-dato"
96|"61491-4JOJH"|"Servicio de Barman (Ver detalles en PDF)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-20"|"2023-01-20"|9|1|1|t|0|100|3000000|0|"sin-dato"
95|"61359-Z43K7"|"Servicio de Disco Básica c/dj, sonido y luces"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-01-20"|"2023-01-20"|9|1|1|t|0|100|1200000|0|"sin-dato"
94|"39523-K6TNN"|"Bolsas de Hielo"|0.00|0.00|0|7000.00|100|10|t|f|f|"2023-01-20"|"2023-01-20"|9|1|1|t|0|100|15000|0|"sin-dato"
93|"60973-5SJDT"|"250-DECORACIÓN BASICA (ver detalles)"|0.00|0.00|0|0.00|100|10|t|f|f|"2023-02-24"|"2023-02-24"|9|1|1|t|0|100|250000|0|"sin-dato"
